preprocessed_text,label_sentiment,predicted_label_svm,predicted_label_rf
sumpah kurikulum sekolah sekarang memang kacau bgt soal kalau di banding jaman yang pakai ktsp sampai ke mix tuh jauh lebih mending daripada tiga adek adekku yang masih sd pakai kurikulum merdeka bahkan buku paket sama lks saja iya allah kayak bagaimana iya jelas beda bgt,0,0,0
soal pas uas sas informatika kelas semester kurikulum merdeka lengkap dengan link download pdf,1,1,1
ini kurikulum merdeka orang tua asal percaya aja anak jadi rusak,0,0,2
sumpah kurikulum merdeka buat saya stres anjirttt tiap hari presentasi melulu,0,2,0
ajar sejarah tidak lagi waji pramuka bukan lagi ekstra kurikuler waji anak sampai tapi kali dasar di bawah saja belum bisa amp belum hapal jangan tanya jika hadap dengan sama kuadrat lalu apa yang mau tuju dari kurikulum merdeka,2,0,2
implementasi kurikulum merdeka dalam tingkat kualitas didik baca cilacapdotinfo,1,1,1
joktug halo cari joki yang bisa buat alat evaluasi assesmen yang biasa jadi komponen perangkat ajar dalam buat modul kurikulum merdeka untuk modul sudah ada utama yang memang di spess ahli pgsd drop fee,2,2,2
kemendikbud bicara soal sekolah yang terap kurikulum merdeka lama tahun sebut alami tingkat kompetensi literasi bagaimana turut kamu detikers gtgt detikcom,0,2,0
halo boleh minta tolong isi kuesioner aku kriteria siswa sama yang kena kurikulum merdeka terima kasihh,1,1,0
gue sebel sama beban kelompok anjenkkkkkkk kurikulum merdeka kenapa kelompok melulu sih tugas syal,0,0,0
contoh soal bahasa inggris kelas semester kurikulum merdeka bisa jadi referensi ajar,2,1,2
tapi kurikulum merdeka enggak boleh ada anak sampai tinggal kelas inti biar bodo tetap naik kelas mba jadi murid mah suka jadi,2,2,2
partaisocmed pecat karena tidak bisa kerja cepat inovasi seperti nadiem makarim yang prestasi bikin kurikulum merdeka kurang subsidi naik ukt lalu sedia student loan seperti mau baginda,2,0,0
kumpar setujuuuuuu pak kurikulum merdeka adalah kurikulum paling amburadul kurikulum paling bodoh yang pernah ada di republik indonesia,0,0,0
kurikulum merdeka,1,1,1
dampak instan kurikulum merdeka,1,1,1
soal ulang agama katolik kelas dan kunci jawab tahun kurikulum merdeka semester lewat tribunnews,1,1,1
output didik kurikulum merdeka kemdikbud ri besut nadiemmakarim sih menteri didik gagal kurikulummerdeka,0,2,2
ciriciri kalimat deklaratif dan contoh materi bahasa indonesia kurikulum merdeka lewat tribunnews arhan johny warisover afifah agaklaen banten tereliye miftah rasulullah pramono eliano bahrain lanjutkanboikot welcomebackrenjun,1,1,1
soal ulang agama kristen kelas semester kurikulum merdeka lengkap kunci jawab tahun lewat tribunnews,1,1,1
contoh soal ulang bahasa inggris kelas sd kurikulum merdeka dan kunci jawab uas sas lewat tribunnews arhan johny warisover afifah agaklaen banten tereliye rasulullah pramono eliano bahrain lanjutkanboikot welcomebackrenjun,1,1,1
kurikulum merdeka bahkan bikin anakanak indonesia goblog apa lebih baik jajah aja,2,2,0
zakkafm irwndfrry un hapus dan zonasi kenapa tetap tahan karena biaya un dan seleksi sekolah itu biaya besar masuk kurikulum merdeka jadi paksa kreatif dengan modal sendiri,0,2,2
dengan kurikulum merdeka ajar bukan lagi soal hafal tapi paham anakanak dorong untuk erti proses bukan hanya hasil sehingga ilmu lebih lekat dan relevan untuk masa depan mereka kurikulummerdeka medcomid mudamemberiarti,2,2,2
soal uaspassas bahasa indonesia kelas semester kurikulum merdeka dan kunci jawab,1,1,1
makin kuat prasangka gue dan zonasi kurikulum merdeka enggak ada asesmen standar untuk mapel finladia wannabe pmm abai hadap kapasitas guru pegang itu semua adalah skema nadiem untuk busuk negeri,0,0,0
jokowi playbook entah itu pertalite sampai ke kurikulum merdeka cara main begini melulu emang,0,0,0
contoh soal ulang seni budaya kelas sd kurikulum merdeka dan kunci jawab sbdp arhan johny warisover afifah agaklaen banten tereliye miftah rasulullah pramono eliano bahrain lanjutkanboikot welcomebackrenjun,1,1,1
harry poeze amp hank schulte nordholt merdeka the struggle for indonesia independence and the republic si precarious rise amsterdam amsterdam university press unduh sejarahindonesia catatanindonesia catatannusantara,0,0,0
soal ulang seni budaya kelas dan kunci jawab tahun kurikulum merdeka semester lewat tribunnews,1,1,1
matematika lanjut kelas semester transformasi geometri guna matriks materi kelas matematika minat transformasi geometri semester kurikulum merdeka kurmer translasi,1,1,1
mesti ajar sama mulyono kuasa dulu militer dan polisi sandera lawan politik dengan hukum lemah kpk uu cipta kerja yang bikin masyarakat jadi emis bansos ukt tinggi yang bikin rakyat putus asa dan bodoh kurikulum merdeka yang bikin enggak ajar,2,2,2
mulyono mana kau jika sebut kurikulum merdeka ajar tidak cocok terap cara nasional,2,2,2
