preprocessed_text,label_sentiment
partaisocmed pecat karena tidak bisa kerja cepat inovasi seperti nadiem makarim yang prestasi bikin kurikulum merdeka kurang subsidi naik ukt lalu sedia student loan seperti mau baginda,positif
sejak kisruh skp dalam pmm desember januari seliwer pesan beranta macam ini di grupgrup guru tapi sampai saat ini kirim pesan beranta tidak berani tunjuk identitas baik tingkat nasional dinas didik hingga sekolah cara resmi,positif
parapparaa manusiaintrover sekolah gerak adalah sekolah yang pertama kali adopsi kurikulum merdeka seleksi lalu kepala sekolah yang mau laku transformasi ajar,positif
ini di buku teks didik pancasila kelas sdmi ya bisa baca dan unduh gratis di ayuk ibu bapak cek dan encourage sekolah untuk pakai kurikulum merdeka terbit kemdikbudristek harga lebih murah isi lebih kualitas,positif
jk kritik kurikulum merdeka tidak cocok laku cara nasional,positif
emang iya kurikulum merdeka kaya gin siapa ini guru jelasin dong ini nama bukan merdeka tapi derita sc tt,positif
ini serius kurikulum merdeka mau di ganti lagiapalah dunia ini,positif
ini hasil karya kurikulum merdeka rezim sekarang apa terus kita diam saja pasrah tidak ikut politik an,negatif
baca alas hapus jurus kurikulum merdeka ini saya tuju dulu nyaksiin sendiri teman maksa pindah ke swasta supaya dapat jurus ipa padahal dia gamau,negatif
saya saudara lakilaki korban ubah kurikulum merdeka,negatif
fisika kelas semester dinamika partikel by gabriellstrn materi kelas fisika dinamika partikel semester kurikulum merdeka kurmer,netral
kalau turut saya buku kurikulum merdeka yang sekarang ini bagus sih karena push murid untuk berfikir lebih kritis bahkan cryptarithm yang tahu dari coc adek saya sudah dapat ajar,positif
kurikulum merdeka murid merdeka bebas mau paham apa enggak,netral
ini hasil kurikulum merdeka,netral
hasil kurikulum merdeka nadiemmakarim panjang osis banyak yang tidak tau kurikulum gagal dan menteri gagal,negatif
kurikulummerdeka al karena desa un tiada ada desa nilai murid laku sekolah sendiri karena proses ajar itu ada tanggungjawa langsung kabkota di era otonomidaerah kurikulummerdeka beri wenang sekolahguru untuk susun kurikulumsilabus sesuai sekolah,positif
selamat atas luncur sastra masuk kurikulum baca sastra kini jadi bagi dari kurikulum merdeka banyak judul telah rasi oleh para kurator pilih mana yang masuk jenjang didik sd smp hingga sma lengkap bisa poin,netral
adiemappunya tanyakanrl daripada misuh lebih arah kaget telah baca struktur kurikulum merdeka transisi jauh banget beda banget sampai anak sama bisa pilih mapel pilih tuh woow mana bates transisi cuma sampai moga kejar deh siap tenaga dan fasilitas ajar nya,negatif
gess tahu tidak kenapa gin karena sekarang kurikulum nya merdeka tidak ada sistem tidak naik kelas un tiada saya sbagai guru juga pusing brubah terus kurikulum terus merdeka ngurusin anak begini dan bikin administrasi banyak terus gaji kidding what do you think,positif
bahassoalfess saya duga bahwa konsep dasar atau alas mengapa kata banding balik nilai itu asal dari materi atur bagi yang sudah ajar di kelas kurikulum merdeka anyway ini baru hipotesis sih entah benar atau tidak konsep sebut asal dari sini,positif
un yang baik kualitas soal amp tuju asesmennya untuk meta bahkan dipretelin zonasi beranta bikin tidak sekolah amp kurikulum merdeka implementasi bikin sulit guru snbt uji mata ajar hilang dosa jokowi paling akbar itu nadiem,negatif
kurikulum merdeka anggap bakal bikin jadi progresif risk taker strategic thinker bla bla bla benerin tuh concept mastery baru integrated knowledge amp transfer set deh ibarat passing saja belum benar sudah bicara pressing dan high defense line keblinger,positif
memang tidak jelas arah didik sekarang ini bilang merdeka nyata bahkan makin kekang dengan sistem yang rumit dan tidak jelas kata temen sistem kurikulum merdeka sekarang tu murid ajar sendiri guru sibuk administrasi kan ngaco,positif
serius ini tehnik kurikulum merdeka nadiemmakarim kemdikbud asa main ular tangga kasih yang mudah buat yang susah pantas anak pada stres dan iq nya pun rendah di asean,positif
tementemen ada yang mau bantuin sender buat isi kuisioner ga masih butuh responden lagi kriteria guru bahasa inggris kelas guna buku kurikulum merdeka,netral
fisika kelas semester vektor by gabriellstrn materi kelas fisika vektor semester kurikulum merdeka kurmer,netral
output didik kurikulum merdeka kemdikbud ri besut nadiemmakarim si menteri didik gagal kurikulummerdeka,negatif
kurikulum merdeka kalau ada yang rumit sedang apa pilih yang gampang ngik,negatif
kurikulum merdeka buat sd itu pas bagi rapo ada sistem rangking tidak ya tia,positif
kurikulum merdeka,netral
kurikulum or kurikulum merdeka,netral
guyss kalian yang sama nya pakai kurikulum merdeka pusing juga tidak sih sama tugas,negatif
kurikulum merdeka itu letak merdeka mana ya,negatif
adek saya pakai kurikulum merdeka nah dia sudah naik kls minta les kata biar dapat ptn lebih baik les nya pas kls saja gasih dia tadi dapat rangking gituu,positif
smenjak kurikulum merdeka saya jadi tkut sekolah bejir rasa kaya tidak tenang gelisah dan waswas melulu kalau mau berangkat,netral
kalau bhs inggris nya kurikulum merdeka itu apa ya ada yang tau,netral
w sebel sama beban kelompok anjenkkkkkkk kurikulum merdeka kenapa kelompok melulu sih tugas syal,negatif
nadiem makariem kembali buat gebrak bijak itu ia beri nama merdeka ajar kampus merdeka dalam papar bijak itu sebut tidak ada empat poin yang jadi program utama nadiem apa saja,positif
rill kurikulum merdeka ajar tidak ajar tetep merdeka ngomongngomong memang semir itu pernah bantu ngerjain pr keponakan sd kls doi kan iya harus jawab yang ada di soal itu ada semua iya sesuai bahan baca buku paket ini tidak bahkan yang ada aku repot harus cari dulu,positif
belakang sedikit ngikutin topik tentang kurikulum merdeka baru inget dulu saya pas kuliah pernah nulis curhatan tentang kurikulum yang nyata mirip dengan konsep kurikulum merdeka sekarang untung ada wayback machine jadi bisa lihat lagi postingan lama saya repost lagi sini,negatif
kurikulum baru kurikulum merdeka memang masuk bahasa inggris namun upa mata ajar pilih bayang jauh dengan malaysia bahasa antar,positif
solusi cepat kurikulum merdeka,positif
kurikulum merdeka budaya meng tetap baca repitisie dan menghapla ajar ipa meski sudah di ruma,positif
habis kena culture shock ngajar bocil sd kurikulum merdeka di sekolah dipraktekin tidak cara tidak kak cuma diajarin di papan tulis arti iya tapi temen kamu paham semua materi tidak,negatif
sender anak kurikulum merdeka asli pusing banget mana full gambar kemarin hari ini dan besok full makalah sender bisa gila,positif
mdy iya bagaimana iya beliau kan lebih expe di bisnis tapi taruh di bagi didik tuh kaya gimanaaaa gitu dari awal juga yang waktu sama pak anies saja yang kurtilas ngerasa beban padahal pak anies ahli apalagi ini kurikulum merdeka cerita tapi bahkan bikin pusing,negatif
kurikulum merdeka ajar jadi ajar tidak ajar bebas semua lulus tidak ada hapalan rpul rpal tidak ada iya ini hasil,positif
tobiin barisanpemudari kurikulum merdeka ajar bas projek enak ini tidak textbook bisa belaajr dari praktik lebih nempel di otak esensial sesuai bakat dan minat ini sih konsep yang bener,positif
jk sebut kurikulum merdeka ajar tidak cocok terap cara nasional terima kasih puang jk klik untuk baca kompascom baca berita tanpa iklan download aplikasi,positif
merdeka ajar ini juga dari kurikulum itu sendiri yang sebut kurikulum merdeka perintah atau badan yang urus kurikulum keluar siapa capai ajar yang isi apaapa yang harus capai anakanak apa yang akan ajar dan tuntun bagi terbit swasta,positif
krougee tidak kurikulum merdeka itu tidak cocok buat banyak household di indonesia iya kalau di rumah lingkung suka baca buku suka diskusi ilmu sampai ortunya ngarahin anak ajar ini dari situ ajar ini dari sini wali murid banyak mah mikirnya ajar iya di sekolah doang,positif
e monyet aku main gim biar tidak gila serang tugastugas kurikulum merdeka yang seperti tai itu iya anjeng validasi validasi mata kamu picek sini kepala kamu aku hedsot pakai dulu,positif
suara demorakasi rupa salah satu agenda dalam projek kuat profil ajar pancasila pada implementasi kurikulum merdeka di sekolah kait suara demokrasi sekolah kami laku giat pilih ketua dan wakil ketua osismpk,positif
wakil presiden dan ri jusuf kalla beberapa waktu lalu kritik kurikulum merdeka ajar yang terap mendikbudristek nadiem makarim tidak cocok terap di indonesia turut jk kurikulim ini hanya cocok terap di beberapa sekolah namun tidak pas,positif
yang sebenwrnya bikin saya gereget adalah anak paksa untuk naik kelas saat dia sebenernya belum mampu kurikulum merdeka juga tidak bikin mereka jadi bisa ajar mandiri justru tambah males administrasi guru banyak tapi gaji kecil,positif
prabowo terima limpah pr yang begitu besar sektor didik mulai dari kurikulum merdeka hingga baik infrstruktur didik baca tulis hasanudin wahid sekjen pk dan anggota dprri yang artikel ini telah tayang di dengan judul nanti,positif
elisa jkt iya kan kurikulum merdeka merdeka lulus merdeka ajar merdeka juga bloonnya bebas mau erti ajar atau tidak bebas mau ajar atau tidak bebas mau tawur atau enggak entah kurikulum yang total salah atau ejawantah yang salah,positif
liaasister kurikulum merdeka merdeka mau ken pinter apa goblog merdeka ke sekolah bawa buku atau sajam yang penting tiap tahun naik kelas,positif
anak saya ambruk akademik nya waktu mondok di pondok pesantren yang terap kurikulum merdeka harus hafal quran minimal juz telah pindah pondok yang khusus kaji kita dan ilmu hadis ajar akademik nya bahkan jauh kembang paham kita nya juga bagus,positif
areumdawn diabara tanyakanrl kak dari jaman aku sd jauh belum kurikulum merdeka dulu masih ktsp alih ke pun sudah gaboleh ada siswa yang tidak naik kelas guru tuntut katrol nilai siswa sampai atas kkm meski tidak mumpuni jadi faktor bukan hanya kurikulum ajaa,positif
makin kuat prasangka saya dan zonasi kurikulum merdeka tidak ada asesmen standar untuk mapel finladia wannabe pmm abai hadap kapasitas guru megang itu semua adalah skema nadiem untuk busuk negeri,negatif
yang gagal itu sdm nya tidak sih kurikulum merdeka ini bagus loh benar tapi mental warga saja yang belum siap sekian puluh tahun di jajah iya mental nya mental budak bukan mental merdeka toh kalaupun ada kurang turut saya lebih ke dewasa sdm nya guru dosen dsb,positif
pada kurikulum merdeka sumber ajar sangat agam tidak hanya ajar di dalam kelas,positif
ini kurikulum merdeka orang tua asal percaya aja anak jadi rusak,negatif
dengan kurikulum merdeka saat ini jika gaji guru akan ada tingkat signifikan kualitas didik didik itu bukan tentang kurikulum tapi tentang pimpin sekolah dan orangorang di sekolah,netral
hasil kerja kurikulum merdeka nadiem sbg mendikbud lulus sekolah indonesia tidak aku dan harus tempuh proses khusus untuk dapat lanjut di university of twente terima kasih pak jokowi,negatif
kurikulum merdeka masih bisa tidak naik kelas walau itu opsi akhir akhir tafsir bahwa kurikulum merdeka harus semua anak naik kelas padahal iya bisa saja sih tidak naik,positif
kurikulum didik nusantara anak kelas sd diniyah plus kurikulum merdeka baru masuk paksa nulis tentang definisi kode etik dalam tik di mata ajar tik apa urgensi gitu lho si nadiemkarim paham tidak perkara etik tik ini,negatif
indonesia darurat keras seksual di sekolah kurikulum merdeka bisa apa,negatif
gabisa kata guru beda mapel seko dulu dan yang sekarang dan memang iya sekolah aku dulu sudah ake kurikulum merdeka sedang yang sekarang masih pakai kurikulum ipa ips,netral
tanyarl halo tementemen aku mau minta tolong isiin survey untuk tugas kurikulum merdeka harus dapat lebih dari responden linknya aku taro di comment yaa terimakasih temenn,netral
kurikulum merdeka memang hebat slamat sambut indonesia ee mas,positif
guyss ada yang punya materi geografi kelas kurikulum merdeka ga aku cari tidak nemu kalau ada yang nemu tolong kirim kalau out of topic bilang iya biar aku tadi,netral
kurikulum merdeka nohh syal,netral
ajar pada kurikulum merdeka sulit benar bukan sulit lho tetapi lalu kurikulum merdeka ajar bukan lagi soal hafal tapi paham ingin tahu jelas lengkap yuk simak ulas ikut ini kurikulummerdeka merdekabelajar,positif
dulu mikir tu sudah yang buruk tapi masih ada kurikulum merdeka yang nyata lebih buruk,negatif
temanteman kurikulum merdeka tetap ada siswa eligible kan,netral
tahun masa perintah presiden joko widodo telah keluar bijak zonasi dan kurikulum merdeka dengan tuju tingkat kualitas didik namun jauh mana perintah telah beri dukung yang pada bagi sekolah guru dan siswa dalam implementasi bijak,negatif
zakkafm irwndfrry un hapus dan zonasi kenapa tetap tahan karena biaya un dan seleksi sekolah itu biaya besar masuk kurikulum merdeka jadi paksa kreatif dengan modal sendiri,negatif
kurikulum merdeka is fucking shit untung masih pakai,negatif
soundofyogi saya kira saya doang yang bingung sama korelasi apa habis pusing beres lapor ini dampak kurikulum merdeka apa biasa komparasi dapat yang tidak apple to apple,negatif
thoriqmm padahal kurikulum merdeka baru mulai bagi di tahun outputnya belum lihat tapi sudah disalahin kalau banyak murid sekolah tengah tidak sesuai ekspetasi nilai gagal iya karena produk kurikulum belum yaitu dan ktsp,positif
penjara kan dia yang rusak generasi indonesia emas jadi indonesi cemas dengan tuju makin banyak yang bakal jadi driver aplikasi sudah gitu tarif driver buat murah mungkin dan biaya layan besar mungkin bangke emang kurikulum merdeka bahkan bikin sengsara,negatif
negativisme hapus kan kurikulum merdeka kembali marwah guru yang injak sistem dan tidak bisa beri disipliner kepada siswa yang masalah mental,negatif
gess ada yang tahu tidak paket mapel di kurikulum merdeka itu ada apa ajaa,netral
ada yang punya catat materi seni tari kelas kurikulum merdeka tidak ya sender butuh banget soal t t,netral
cara menjawa soal latih pecah kelas sd kurikulum merdeka,negatif
buat kalian para guru enak ngajar zaman kurtilas atau kurikulum merdeka,positif
ini kurikulum merdeka sedang apa anak anak sih sumpah saya capek banget bicara sama bocil lulus sama yang kurikulum merdeka,positif
aku jadi anak kurikulum merdeka biar tidak bunuh sama beyonce,netral
yuk simak cerita harry kurniawan murid sman purworejo yang temu bebas ekspres telah implementasi ajar sesuai minat dan bakat di kurikulum merdeka kurikulummerdeka merdekabelajar,positif
temanteman kalian di sini ada yang sekarang kelas amp pakai kurikulum merdeka gak kalau ada sistem eligible nya bagaimana iya soal kan mapelnya dicampurmilih sendiri,netral
nenkmonica nadiemmakarim rill ngerasain banget susah kurikulum merdeka guru bingung plus banyak administrasi jadi tidak fokus ngajar ke anak,negatif
kurikulum merdeka guru tuntut kreatif melek kembang teknologi sehingga bisa kembang potensi siswa tuntut pula ikut administrasi dan dokumentasi ajar ajar yang rumit tetapi masih banyak gaji guru honorer bawah mau harap apa sih pak,positif
kur merdeka saya rasa standar internasional but not the best for us jadi gimana pilih salah satu pondasi yang turut perintah baik kurang tambah jangan ubah ganti presiden kurikulum jangan ganti sistem didik baik tetap for long term jangan ikut periode presiden,negatif
daddyminussugar kurikulum merdeka sukasuka tidak ada uji nasional tidak ada standar jorjoran nilai tinggi bak juara tidak peduli siswa tidak tahu apaapa,positif
kumpar konsep asli mungkin tidak jelek amat terap yang beranta amp tidak pakai kira contoh mhs sastra masuk ke kuliah it merdeka ajar kata ikut kuliah yang tidak ada hubung itu anggap sbg telah ambil kuliah sesuai kurikulum di jurus asal aja kan,positif
video jk kritik kurikulum merdeka nilai tidak cocok cara nasional,positif
analisis saya kenapa banyak yang keluh kurikulum merdeka kurikulum sosialisasi cara jenjang dari pusat sampai daerah lalu latih luring kurikulum merdeka sosialisasi via webinar daring belum semua guru bisa serap materi cara daring,positif
nenkmonica nadiemmakarim jujur program dia beberapa okay kayak kampus merdeka bagus untuk anak kuliah tapi kurikulum didik sd smp smadll jujur gagal banget muridmurid pada tidak jelas tidak ada tahu tahu umum tidak pinter matematika gajelas apalagi semenjak ada istilah ipas makin aneh,positif
kumpar setujuuuuuu pak kurikulum merdeka adalah kurikulum paling amburadul kurikulum paling bodoh yang pernah ada di republik indonesia,negatif
nenkmonica nadiemmakarim kurikulum merdeka murid bebas buat onar suka,positif
kurikulum merdeka bukan merdeka bahkan tambah derita hari minggu bukan buat hiling bahkan buat ngerjain tugas yang bikin pusing,negatif
kakakamri arsicha sari psikolog nya pilih yang dukung kurikulum merdeka tanpa ajar yang penting fun bahagia no stres proyek tanpa fundamen yang kokoh yang kritis minggir dulu,positif
diabara tanyakanrl kan kurikulum merdeka tidak lulus tetap harus dilulusin sedang apa ajar ngejar nilai tinggi kan toh bakal tetap lulus walaupun nilai bobrok,positif
mau singapore math cambridge kurikulum merdeka or even kurikulum kalau anak gizi tidak bagus suka makan upf dan papar segera mungkin rokok dan lainlain iya gimana,positif
kurikulum merdeka cocok untuk sekolah swasta mahal yang sudah wellestablished lebih lebih baik tiru tiongkok untuk di luar itu wkwk,positif
gelap terang implementasi kurikulum merdeka,negatif
lho kalau begitu mimind sudah laksana kurikulum merdeka dari tahund dong yakin deh kanan dan kiri itu diajarkand cumand yang pendek djadi favorit karena kalian sendiri,negatif
mungkin kurikulum merdekamerdeka ajar arti adalah merdeka dari harus ajar mau ajar seperti tidak gek merdeka sakkusaitna agama nusantara bayuangora spektrum valhallaah bnsphrxyzzz refublikateis kappa paijokhentirr chris ting homo,positif
zanatul bagaimana sejahtera pak insentif untuk guru swasta brsertifikasi kerap kali trlambat cair bahkan tidak cair tahun kami anggap tidak penuh jam ajar dan pernah jadi kena deadline isi dapodik krena alih sistem ke kurikulum merdeka yang kacau,positif
air api tanah dan udara dahulu empat negara hidup dengan damai namun semua ubah saat kurikulum merdeka pmm dan serang,positif
aleamsbarra jangan sampai nadiem tahu produk ini nanti guru guru kurikulum merdeka wajib pakai kapur ini,netral
kurikulum merdeka nih jadi asal merdeka ajah jawab,netral
saya lihat kurikulum merdeka itu kurang efektif anakanak jadi jarang nulis namun suka presentasi amp itu materi banyak lihat copas dari google tidak ada beda kalimat dengan google telah itu presentasi pun bukan paham bahkan kaya angin lewat doang,positif
mulai ada perspektif kurikulum merdeka itu karena ikut finland itu dari mana ya tau saya kenapa muncul kurikulum merdeka ini dasar butuh yang akan hadap siswa di abad,negatif
memefess nadiem daripada kamu bikin kurikulum merdeka lebih baik bikin satu matpel logika nalar matpel logika matematika bahasa alien,positif
ridwanhr se takut itu yahh pak wkwk emang gila sih hasil dari kurikulum merdeka akhir bahkan saya lihat ada bubar sekolah terus murid dengan santai ngerokok depan gerbang sekolah njirr ck,positif
soal uji pjok kelas sd kurikulum merdeka semester tahun dan kunci jawab sumatif lewat tribunnews,netral
pppkguru turut ini disrupsi bijak gabisa dong ngejudge hasil kurikulum yang lagi pakai sekarang juga harus tahun ke depan ketika angkat kelas pertama kali dapat kurikulum merdeka lulus sma,positif
soal ulang geografi kelas semester kurikulum merdeka lengkap kunci jawab tahun lewat tribunnews,netral
guyssss here we gooo angkat pertama kurikulum merdeka sudah proyek akhir saja,netral
soal uji mtk kelas sd kurikulum merdeka semester tahun dan kunci jawab sumatif lewat tribunnews,netral
qasimitv bagaimana kalau kamu saja yang ajar make kurikulum merdeka,positif
jk sebut kurikulum merdeka ajar tidak cocok terap cara nasional,positif
tapi kurikulum merdeka tidak boleh ada anak sampai tinggal kelas inti biar bodo tetap naik kelas mba jadi murid mah suka jadi,positif
sammisoh efek kurikulum merdeka admin tidak bisa bedain negara kolombia dengan filipina,netral
box hardi palingteguh guru pns nah ini juga bang peran orang tua jadi lebih besar dalam ajar anak di rumah karena di sekolah dan buku ajar kurikulum merdeka ini konsep awal sendiri kurang di jelas iya kalau ortunya dulu sekolah lupa lupa ingat bisa ngajarin anak kalau orang tua yang maaf tidak kola,positif
salah satu hasil dari kurikulum merdeka miris itu dulu sd juga sudah hafal dar seperti itu buka uud uud gbhn dll kalau bocah sekarang dari pancasila juga masih belepotan,negatif
this tweet basically summarises what happened with kurikulum merdeka ajar,positif
nenkmonica nadiemmakarim kurikulum merdeka bikin ruwet guru yang sudah mbahmbah apalagi guru yang gagap teknologi mereka harus fokus ajar buat urus aplikasi aku gatau apa tapi mama selalu di depan laptop melulu dan ngeluh capek minta ajarin aku daripada fokus ngajarnya dan akhir muridmurid lantar,negatif
tanyakanrl dokter lulus kurikulum merdeka ntr gin ini banyak atau lebih parah wkwkwkwkwk,negatif
mulyono mana kau jk sebut kurikulum merdeka ajar tidak cocok terap cara nasional,positif
dalam merdeka ajar nadiem hapus uji nasional un bagai syarat kelulus bijak ini jadi salah satu yang paling kontroversial picu debat tentang standar kualitas didik,positif
kurikulum etika moral sejarah indonesia emosi saint dan teknologi mat fisika biologi kimia komputer bahasa indonesia bahasa asing kreativitas seni dan budaya sosial teori dan praktek ajar agama hapus masuk ke dalam giat ekskul siswa,positif
hmmapanamanya sheandwhite ridwanhr tapi dengan logika seperti gitu harusny lulus kurikulum merdeka sudah bisa hitung dasar karena itu dasar banget buat cari duit tapi nyata kan masih banyak yang keteter untuk prhitungan dasar doang bayangin hitung dasar saja masih belum bisa bagaimana mau survive di dunia penuh ini,negatif
jusuf kalla kurikulum merdeka tidak bisa terap cara nasional bnetwork,netral
taka bibit rusa sudah mulai sejak sebenernya saat peran guru dalam kbm reduksi jadi beri feedback instead of ajar parah sama sistem full day tahun yang bikin kbm smakin tidak efektif kurikulum merdeka cm lanjut busuk yang sudah ada cm beda kemas aja,negatif
shintaeffendi elisa jkt itu judul kurikilum merdeka tuju bodoh lokal siswasiswi tidak standar nasional sd smp sama,negatif
zanatul di mana saya bisa dapat naskah akademik atau informasi kait kurikulum merdeka ini pak atau ada bahan baca yang dapat tuntun saya dalam paham kurikulum merdeka ini terima kasih banyak,negatif
sumpah kurikulum sekolah sekarang memang kacau bgt soal kalau di bandingin jaman yang make ktsp sampai ke mix tuh jauh lebih mending drpd tiga adek adekku yang masih sd pakai kurikulum merdeka bahkan buku paket sama lks saja iya allah seperti bagaimana iya jelas beda bgt,negatif
anakkolong repot negara ini banyak orang pintar yang akal yang rasa pintar makanya tuju dengan kurikulum merdeka sekarang yang bisa mangkas pola pikir generasi untuk jadi pintar,positif
jusuf kalla kritik kurikulum merdeka tidak cocok terap cara nasional,positif
sheandwhite kurikulum merdeka telah pantau tidak jauh beda sama standar didik us salah satu jumlah tapi pakai metode aljabar buat didik dini plek ketiplek kesan kaya ooh didik negara maju kaya gin pakai ah batas itu,positif
dengan kurikulum merdeka untuk bentuk generasi muda yang taat hukum dan milik nilainilai moral yang kuat utama kait anti korupsi dan anti bullying,positif
telah terbit matematika smpmts kurikulum merdeka bukuerlangga klubbuku,netral
kemendikbud bicara soal sekolah yang terap kurikulum merdeka lama tahun sebut alami tingkat kompetensi literasi bagaimana turut kamu detikers gtgt detikcom,negatif
kemarin aku baru saja ada latih bikin soal nyata memang masih banyak yang belum paham kurikulum merdeka bukan sok tau tapi beneran banyak guru muda yang yang penting ngajar,positif
wkdtndmswl nenkmonica nadiemmakarim revisi turut saya juga bagus padu sekaligus transisi antara kurikulum lama ktsp yang lebih ke arah pemahamanpenguasaan teorimateri dan kurikulum merdeka yang lebih depan praktek dan terap dari teori,positif
nakmandiri selain itu kurikulum merdeka tidak beban murid dengan pr sehingga banyak anak sekarang banyak waktu luang yang guna untuk hal ini juga rupa peran penting orang tua dalam didik anak orang tua sekarang terlalu lelah cari cuan tahu sendiri sekarang saing kerja,negatif
jk tidak tuju dengan terap kurikulum merdeka cara nasional bnetwork,positif
soal uji agama katolik kelas sd kurikulum merdeka semester tahun dan kunci jawab lewat tribunnews,netral
soal ulang bahasa inggris kelas semester lengkap kunci jawab kurikulum merdeka tahun lewat tribunnews,netral
tapi jadi penasaran juga yang salah di kurikulum merdeka itu bagaimana kok yang sebar di internet sekarang jadi gitu pingin ngecek apakah emang sekarang jadi bodoh itu atau sebenernya makin banyak yang pinter tapi tutup sama konten,negatif
nenkmonica nadiemmakarim gara gara kurikulum merdeka tuh banyak yang nyepelein pasti bakal bilang paling lulus semua ckckckck,negatif
kurikulum merdeka baru tahun laku untuk seluruh sekolahbuat saya justru ini masalah karena pandemi kemarin,negatif
soal ulang pkn kelas semester kurikulum merdeka lengkap kunci jawab tahun lewat tribunnews,netral
memefess oh iya iya keren juga brok inti kurikulum merdeka cipta gweh yang baik kan,positif
soal ulang antropologi kelas semester kurikulum merdeka lengkap kunci jawab tahun lewat tribunnews,netral
soal ulang ekonomi kelas semester kurikulum merdeka lengkap kunci jawab tahun lewat tribunnews,netral
kumpar iya begitu kalau menteri didik dengan tahu amp alam ngakali dengan yang yang mau untung sendiri iya jadi rusak didik kita kurikulum merdeka itu sama sistem mitra ojol iya pak alibi juga sama tidak paksa kata,negatif
mdy jelas gagal realitanya ini orang bikin bagi siswa jadi tambah males sejak un di hapus bikin kurikulum merdeka yang ribet banyak giat tapi bukan bagai tolak ukur lulus atau tidak yaa siswa pada mikir sedang apa giat ini itu toh juga tetep lulus,negatif
soal ulang bahasa sunda kelas semester lengkap kunci jawab kurikulum merdeka tahun lewat tribunnews,netral
shyooogarush deelvote nenkmonica nadiemmakarim ngembangin sendiri emang jadi kurang paham si soal dari dulu murid indo sudah gantung sama gurudosen yang harus nerangin sampai dapat makanya pas dapat kurikulum merdeka banyak yang kurang nangkep tapi benar kurikulum ini bagus temanteman,positif
mdy kurikulum merdeka itu benar seperti i iya tapi ajar tidak beri bekal mampu ngajar sistem i iya jadi sulit,positif
barisanpemudari kurikulum merdeka murid merdeka bebas bebas mau erti apa tidak tetep bakal naik kelas dan lulus tepat waktu yeay itu belum ditanyain panjang bpupki sama ppki pki nya jadi partai yang onoh,positif
el sulfat kamentrader hasil dari kurikulum merdeka,netral
kurikulum merdeka yang gadang bisa tingkat perata kualitas didik implementasi jauh dari harap bagaimana ngga benchmarking nya sama sistem finlandia tapi fasilitas kualitas amp sejahtera guru saja jauh dah bagus jadi proposal saja ini kurikulum merdeka,netral
tapi jujur kurikulum merdeka is the worst kurikulum yang pernah ada aku bicara gin karena aku alumni kurmed,positif
nenkmonica nadiemmakarim kurikulum merdeka namun apa yang merdeka para ajar makin sulit memanage waktu makin malas makin setress attitude tata krama turun salah gaul kembang gagal pol deh,negatif
