preprocessed_text,label_sentiment_numbered
adiemappunya tanyakanrl daripada misuh lebih arah kaget telah baca struktur kurikulum merdeka transisi jauh banget beda banget sampai anak sama bisa pilih mapel pilih tuh woow mana bates transisi cuma sampai moga kejar deh siap tenaga dan fasilitas ajar nya,0
gess tahu tidak kenapa gin karena sekarang kurikulum nya merdeka tidak ada sistem tidak naik kelas un tiada saya sbagai guru juga pusing brubah terus kurikulum terus merdeka ngurusin anak begini dan bikin administrasi banyak terus gaji kidding what do you think,2
bahassoalfess saya duga bahwa konsep dasar atau alas mengapa kata banding balik nilai itu asal dari materi atur bagi yang sudah ajar di kelas kurikulum merdeka anyway ini baru hipotesis sih entah benar atau tidak konsep sebut asal dari sini,2
un yang baik kualitas soal amp tuju asesmennya untuk meta bahkan dipretelin zonasi beranta bikin tidak sekolah amp kurikulum merdeka implementasi bikin sulit guru snbt uji mata ajar hilang dosa jokowi paling akbar itu nadiem,0
kurikulum merdeka anggap bakal bikin jadi progresif risk taker strategic thinker bla bla bla benerin tuh concept mastery baru integrated knowledge amp transfer set deh ibarat passing saja belum benar sudah bicara pressing dan high defense line keblinger,2
memang tidak jelas arah didik sekarang ini bilang merdeka nyata bahkan makin kekang dengan sistem yang rumit dan tidak jelas kata temen sistem kurikulum merdeka sekarang tu murid ajar sendiri guru sibuk administrasi kan ngaco,2
serius ini tehnik kurikulum merdeka nadiemmakarim kemdikbud asa main ular tangga kasih yang mudah buat yang susah pantas anak pada stres dan iq nya pun rendah di asean,2
tementemen ada yang mau bantuin sender buat isi kuisioner ga masih butuh responden lagi kriteria guru bahasa inggris kelas guna buku kurikulum merdeka,1
fisika kelas semester vektor by gabriellstrn materi kelas fisika vektor semester kurikulum merdeka kurmer,1
output didik kurikulum merdeka kemdikbud ri besut nadiemmakarim si menteri didik gagal kurikulummerdeka,0
kurikulum merdeka kalau ada yang rumit sedang apa pilih yang gampang ngik,0
kurikulum merdeka buat sd itu pas bagi rapo ada sistem rangking tidak ya tia,2
kurikulum merdeka,1
kurikulum or kurikulum merdeka,1
guyss kalian yang sama nya pakai kurikulum merdeka pusing juga tidak sih sama tugas,0
kurikulum merdeka itu letak merdeka mana ya,0
adek saya pakai kurikulum merdeka nah dia sudah naik kls minta les kata biar dapat ptn lebih baik les nya pas kls saja gasih dia tadi dapat rangking gituu,2
smenjak kurikulum merdeka saya jadi tkut sekolah bejir rasa kaya tidak tenang gelisah dan waswas melulu kalau mau berangkat,1
kalau bhs inggris nya kurikulum merdeka itu apa ya ada yang tau,1
w sebel sama beban kelompok anjenkkkkkkk kurikulum merdeka kenapa kelompok melulu sih tugas syal,0
nadiem makariem kembali buat gebrak bijak itu ia beri nama merdeka ajar kampus merdeka dalam papar bijak itu sebut tidak ada empat poin yang jadi program utama nadiem apa saja,2
rill kurikulum merdeka ajar tidak ajar tetep merdeka ngomongngomong memang semir itu pernah bantu ngerjain pr keponakan sd kls doi kan iya harus jawab yang ada di soal itu ada semua iya sesuai bahan baca buku paket ini tidak bahkan yang ada aku repot harus cari dulu,2
belakang sedikit ngikutin topik tentang kurikulum merdeka baru inget dulu saya pas kuliah pernah nulis curhatan tentang kurikulum yang nyata mirip dengan konsep kurikulum merdeka sekarang untung ada wayback machine jadi bisa lihat lagi postingan lama saya repost lagi sini,0
kurikulum baru kurikulum merdeka memang masuk bahasa inggris namun upa mata ajar pilih bayang jauh dengan malaysia bahasa antar,2
solusi cepat kurikulum merdeka,2
kurikulum merdeka budaya meng tetap baca repitisie dan menghapla ajar ipa meski sudah di ruma,2
habis kena culture shock ngajar bocil sd kurikulum merdeka di sekolah dipraktekin tidak cara tidak kak cuma diajarin di papan tulis arti iya tapi temen kamu paham semua materi tidak,0
sender anak kurikulum merdeka asli pusing banget mana full gambar kemarin hari ini dan besok full makalah sender bisa gila,2
mdy iya bagaimana iya beliau kan lebih expe di bisnis tapi taruh di bagi didik tuh kaya gimanaaaa gitu dari awal juga yang waktu sama pak anies saja yang kurtilas ngerasa beban padahal pak anies ahli apalagi ini kurikulum merdeka cerita tapi bahkan bikin pusing,0
kurikulum merdeka ajar jadi ajar tidak ajar bebas semua lulus tidak ada hapalan rpul rpal tidak ada iya ini hasil,2
tobiin barisanpemudari kurikulum merdeka ajar bas projek enak ini tidak textbook bisa belaajr dari praktik lebih nempel di otak esensial sesuai bakat dan minat ini sih konsep yang bener,2
jk sebut kurikulum merdeka ajar tidak cocok terap cara nasional terima kasih puang jk klik untuk baca kompascom baca berita tanpa iklan download aplikasi,2
merdeka ajar ini juga dari kurikulum itu sendiri yang sebut kurikulum merdeka perintah atau badan yang urus kurikulum keluar siapa capai ajar yang isi apaapa yang harus capai anakanak apa yang akan ajar dan tuntun bagi terbit swasta,2
krougee tidak kurikulum merdeka itu tidak cocok buat banyak household di indonesia iya kalau di rumah lingkung suka baca buku suka diskusi ilmu sampai ortunya ngarahin anak ajar ini dari situ ajar ini dari sini wali murid banyak mah mikirnya ajar iya di sekolah doang,2
e monyet aku main gim biar tidak gila serang tugastugas kurikulum merdeka yang seperti tai itu iya anjeng validasi validasi mata kamu picek sini kepala kamu aku hedsot pakai dulu,2
suara demorakasi rupa salah satu agenda dalam projek kuat profil ajar pancasila pada implementasi kurikulum merdeka di sekolah kait suara demokrasi sekolah kami laku giat pilih ketua dan wakil ketua osismpk,2
wakil presiden dan ri jusuf kalla beberapa waktu lalu kritik kurikulum merdeka ajar yang terap mendikbudristek nadiem makarim tidak cocok terap di indonesia turut jk kurikulim ini hanya cocok terap di beberapa sekolah namun tidak pas,2
yang sebenwrnya bikin saya gereget adalah anak paksa untuk naik kelas saat dia sebenernya belum mampu kurikulum merdeka juga tidak bikin mereka jadi bisa ajar mandiri justru tambah males administrasi guru banyak tapi gaji kecil,2
prabowo terima limpah pr yang begitu besar sektor didik mulai dari kurikulum merdeka hingga baik infrstruktur didik baca tulis hasanudin wahid sekjen pk dan anggota dprri yang artikel ini telah tayang di dengan judul nanti,2
elisa jkt iya kan kurikulum merdeka merdeka lulus merdeka ajar merdeka juga bloonnya bebas mau erti ajar atau tidak bebas mau ajar atau tidak bebas mau tawur atau enggak entah kurikulum yang total salah atau ejawantah yang salah,2
liaasister kurikulum merdeka merdeka mau ken pinter apa goblog merdeka ke sekolah bawa buku atau sajam yang penting tiap tahun naik kelas,2
anak saya ambruk akademik nya waktu mondok di pondok pesantren yang terap kurikulum merdeka harus hafal quran minimal juz telah pindah pondok yang khusus kaji kita dan ilmu hadis ajar akademik nya bahkan jauh kembang paham kita nya juga bagus,2
areumdawn diabara tanyakanrl kak dari jaman aku sd jauh belum kurikulum merdeka dulu masih ktsp alih ke pun sudah gaboleh ada siswa yang tidak naik kelas guru tuntut katrol nilai siswa sampai atas kkm meski tidak mumpuni jadi faktor bukan hanya kurikulum ajaa,2
makin kuat prasangka saya dan zonasi kurikulum merdeka tidak ada asesmen standar untuk mapel finladia wannabe pmm abai hadap kapasitas guru megang itu semua adalah skema nadiem untuk busuk negeri,0
yang gagal itu sdm nya tidak sih kurikulum merdeka ini bagus loh benar tapi mental warga saja yang belum siap sekian puluh tahun di jajah iya mental nya mental budak bukan mental merdeka toh kalaupun ada kurang turut saya lebih ke dewasa sdm nya guru dosen dsb,2
pada kurikulum merdeka sumber ajar sangat agam tidak hanya ajar di dalam kelas,2
ini kurikulum merdeka orang tua asal percaya aja anak jadi rusak,0
dengan kurikulum merdeka saat ini jika gaji guru akan ada tingkat signifikan kualitas didik didik itu bukan tentang kurikulum tapi tentang pimpin sekolah dan orangorang di sekolah,1
hasil kerja kurikulum merdeka nadiem sbg mendikbud lulus sekolah indonesia tidak aku dan harus tempuh proses khusus untuk dapat lanjut di university of twente terima kasih pak jokowi,0
kurikulum merdeka masih bisa tidak naik kelas walau itu opsi akhir akhir tafsir bahwa kurikulum merdeka harus semua anak naik kelas padahal iya bisa saja sih tidak naik,2
kurikulum didik nusantara anak kelas sd diniyah plus kurikulum merdeka baru masuk paksa nulis tentang definisi kode etik dalam tik di mata ajar tik apa urgensi gitu lho si nadiemkarim paham tidak perkara etik tik ini,0
indonesia darurat keras seksual di sekolah kurikulum merdeka bisa apa,0
gabisa kata guru beda mapel seko dulu dan yang sekarang dan memang iya sekolah aku dulu sudah ake kurikulum merdeka sedang yang sekarang masih pakai kurikulum ipa ips,1
tanyarl halo tementemen aku mau minta tolong isiin survey untuk tugas kurikulum merdeka harus dapat lebih dari responden linknya aku taro di comment yaa terimakasih temenn,1
kurikulum merdeka memang hebat slamat sambut indonesia ee mas,2
guyss ada yang punya materi geografi kelas kurikulum merdeka ga aku cari tidak nemu kalau ada yang nemu tolong kirim kalau out of topic bilang iya biar aku tadi,1
kurikulum merdeka nohh syal,1
ajar pada kurikulum merdeka sulit benar bukan sulit lho tetapi lalu kurikulum merdeka ajar bukan lagi soal hafal tapi paham ingin tahu jelas lengkap yuk simak ulas ikut ini kurikulummerdeka merdekabelajar,2
dulu mikir tu sudah yang buruk tapi masih ada kurikulum merdeka yang nyata lebih buruk,0
temanteman kurikulum merdeka tetap ada siswa eligible kan,1
tahun masa perintah presiden joko widodo telah keluar bijak zonasi dan kurikulum merdeka dengan tuju tingkat kualitas didik namun jauh mana perintah telah beri dukung yang pada bagi sekolah guru dan siswa dalam implementasi bijak,0
zakkafm irwndfrry un hapus dan zonasi kenapa tetap tahan karena biaya un dan seleksi sekolah itu biaya besar masuk kurikulum merdeka jadi paksa kreatif dengan modal sendiri,0
kurikulum merdeka is fucking shit untung masih pakai,0
soundofyogi saya kira saya doang yang bingung sama korelasi apa habis pusing beres lapor ini dampak kurikulum merdeka apa biasa komparasi dapat yang tidak apple to apple,0
thoriqmm padahal kurikulum merdeka baru mulai bagi di tahun outputnya belum lihat tapi sudah disalahin kalau banyak murid sekolah tengah tidak sesuai ekspetasi nilai gagal iya karena produk kurikulum belum yaitu dan ktsp,2
penjara kan dia yang rusak generasi indonesia emas jadi indonesi cemas dengan tuju makin banyak yang bakal jadi driver aplikasi sudah gitu tarif driver buat murah mungkin dan biaya layan besar mungkin bangke emang kurikulum merdeka bahkan bikin sengsara,0
negativisme hapus kan kurikulum merdeka kembali marwah guru yang injak sistem dan tidak bisa beri disipliner kepada siswa yang masalah mental,0
gess ada yang tahu tidak paket mapel di kurikulum merdeka itu ada apa ajaa,1
ada yang punya catat materi seni tari kelas kurikulum merdeka tidak ya sender butuh banget soal t t,1
cara menjawa soal latih pecah kelas sd kurikulum merdeka,0
buat kalian para guru enak ngajar zaman kurtilas atau kurikulum merdeka,2
ini kurikulum merdeka sedang apa anak anak sih sumpah saya capek banget bicara sama bocil lulus sama yang kurikulum merdeka,2
aku jadi anak kurikulum merdeka biar tidak bunuh sama beyonce,1
yuk simak cerita harry kurniawan murid sman purworejo yang temu bebas ekspres telah implementasi ajar sesuai minat dan bakat di kurikulum merdeka kurikulummerdeka merdekabelajar,2
temanteman kalian di sini ada yang sekarang kelas amp pakai kurikulum merdeka gak kalau ada sistem eligible nya bagaimana iya soal kan mapelnya dicampurmilih sendiri,1
nenkmonica nadiemmakarim rill ngerasain banget susah kurikulum merdeka guru bingung plus banyak administrasi jadi tidak fokus ngajar ke anak,0
kurikulum merdeka guru tuntut kreatif melek kembang teknologi sehingga bisa kembang potensi siswa tuntut pula ikut administrasi dan dokumentasi ajar ajar yang rumit tetapi masih banyak gaji guru honorer bawah mau harap apa sih pak,2
kur merdeka saya rasa standar internasional but not the best for us jadi gimana pilih salah satu pondasi yang turut perintah baik kurang tambah jangan ubah ganti presiden kurikulum jangan ganti sistem didik baik tetap for long term jangan ikut periode presiden,0
daddyminussugar kurikulum merdeka sukasuka tidak ada uji nasional tidak ada standar jorjoran nilai tinggi bak juara tidak peduli siswa tidak tahu apaapa,2
kumpar konsep asli mungkin tidak jelek amat terap yang beranta amp tidak pakai kira contoh mhs sastra masuk ke kuliah it merdeka ajar kata ikut kuliah yang tidak ada hubung itu anggap sbg telah ambil kuliah sesuai kurikulum di jurus asal aja kan,2
video jk kritik kurikulum merdeka nilai tidak cocok cara nasional,2
analisis saya kenapa banyak yang keluh kurikulum merdeka kurikulum sosialisasi cara jenjang dari pusat sampai daerah lalu latih luring kurikulum merdeka sosialisasi via webinar daring belum semua guru bisa serap materi cara daring,2
nenkmonica nadiemmakarim jujur program dia beberapa okay kayak kampus merdeka bagus untuk anak kuliah tapi kurikulum didik sd smp smadll jujur gagal banget muridmurid pada tidak jelas tidak ada tahu tahu umum tidak pinter matematika gajelas apalagi semenjak ada istilah ipas makin aneh,2
kumpar setujuuuuuu pak kurikulum merdeka adalah kurikulum paling amburadul kurikulum paling bodoh yang pernah ada di republik indonesia,0
nenkmonica nadiemmakarim kurikulum merdeka murid bebas buat onar suka,2
kurikulum merdeka bukan merdeka bahkan tambah derita hari minggu bukan buat hiling bahkan buat ngerjain tugas yang bikin pusing,0
kakakamri arsicha sari psikolog nya pilih yang dukung kurikulum merdeka tanpa ajar yang penting fun bahagia no stres proyek tanpa fundamen yang kokoh yang kritis minggir dulu,2
diabara tanyakanrl kan kurikulum merdeka tidak lulus tetap harus dilulusin sedang apa ajar ngejar nilai tinggi kan toh bakal tetap lulus walaupun nilai bobrok,2
mau singapore math cambridge kurikulum merdeka or even kurikulum kalau anak gizi tidak bagus suka makan upf dan papar segera mungkin rokok dan lainlain iya gimana,2
kurikulum merdeka cocok untuk sekolah swasta mahal yang sudah wellestablished lebih lebih baik tiru tiongkok untuk di luar itu wkwk,2
gelap terang implementasi kurikulum merdeka,0
lho kalau begitu mimind sudah laksana kurikulum merdeka dari tahund dong yakin deh kanan dan kiri itu diajarkand cumand yang pendek djadi favorit karena kalian sendiri,0
mungkin kurikulum merdekamerdeka ajar arti adalah merdeka dari harus ajar mau ajar seperti tidak gek merdeka sakkusaitna agama nusantara bayuangora spektrum valhallaah bnsphrxyzzz refublikateis kappa paijokhentirr chris ting homo,2
zanatul bagaimana sejahtera pak insentif untuk guru swasta brsertifikasi kerap kali trlambat cair bahkan tidak cair tahun kami anggap tidak penuh jam ajar dan pernah jadi kena deadline isi dapodik krena alih sistem ke kurikulum merdeka yang kacau,2
air api tanah dan udara dahulu empat negara hidup dengan damai namun semua ubah saat kurikulum merdeka pmm dan serang,2
aleamsbarra jangan sampai nadiem tahu produk ini nanti guru guru kurikulum merdeka wajib pakai kapur ini,1
kurikulum merdeka nih jadi asal merdeka ajah jawab,1
saya lihat kurikulum merdeka itu kurang efektif anakanak jadi jarang nulis namun suka presentasi amp itu materi banyak lihat copas dari google tidak ada beda kalimat dengan google telah itu presentasi pun bukan paham bahkan kaya angin lewat doang,2
mulai ada perspektif kurikulum merdeka itu karena ikut finland itu dari mana ya tau saya kenapa muncul kurikulum merdeka ini dasar butuh yang akan hadap siswa di abad,0
memefess nadiem daripada kamu bikin kurikulum merdeka lebih baik bikin satu matpel logika nalar matpel logika matematika bahasa alien,2
ridwanhr se takut itu yahh pak wkwk emang gila sih hasil dari kurikulum merdeka akhir bahkan saya lihat ada bubar sekolah terus murid dengan santai ngerokok depan gerbang sekolah njirr ck,2
soal uji pjok kelas sd kurikulum merdeka semester tahun dan kunci jawab sumatif lewat tribunnews,1
pppkguru turut ini disrupsi bijak gabisa dong ngejudge hasil kurikulum yang lagi pakai sekarang juga harus tahun ke depan ketika angkat kelas pertama kali dapat kurikulum merdeka lulus sma,2
soal ulang geografi kelas semester kurikulum merdeka lengkap kunci jawab tahun lewat tribunnews,1
guyssss here we gooo angkat pertama kurikulum merdeka sudah proyek akhir saja,1
soal uji mtk kelas sd kurikulum merdeka semester tahun dan kunci jawab sumatif lewat tribunnews,1
qasimitv bagaimana kalau kamu saja yang ajar make kurikulum merdeka,2
jk sebut kurikulum merdeka ajar tidak cocok terap cara nasional,2
tapi kurikulum merdeka tidak boleh ada anak sampai tinggal kelas inti biar bodo tetap naik kelas mba jadi murid mah suka jadi,2
sammisoh efek kurikulum merdeka admin tidak bisa bedain negara kolombia dengan filipina,1
box hardi palingteguh guru pns nah ini juga bang peran orang tua jadi lebih besar dalam ajar anak di rumah karena di sekolah dan buku ajar kurikulum merdeka ini konsep awal sendiri kurang di jelas iya kalau ortunya dulu sekolah lupa lupa ingat bisa ngajarin anak kalau orang tua yang maaf tidak kola,2
salah satu hasil dari kurikulum merdeka miris itu dulu sd juga sudah hafal dar seperti itu buka uud uud gbhn dll kalau bocah sekarang dari pancasila juga masih belepotan,0
this tweet basically summarises what happened with kurikulum merdeka ajar,2
nenkmonica nadiemmakarim kurikulum merdeka bikin ruwet guru yang sudah mbahmbah apalagi guru yang gagap teknologi mereka harus fokus ajar buat urus aplikasi aku gatau apa tapi mama selalu di depan laptop melulu dan ngeluh capek minta ajarin aku daripada fokus ngajarnya dan akhir muridmurid lantar,0
tanyakanrl dokter lulus kurikulum merdeka ntr gin ini banyak atau lebih parah wkwkwkwkwk,0
mulyono mana kau jk sebut kurikulum merdeka ajar tidak cocok terap cara nasional,2
dalam merdeka ajar nadiem hapus uji nasional un bagai syarat kelulus bijak ini jadi salah satu yang paling kontroversial picu debat tentang standar kualitas didik,2
kurikulum etika moral sejarah indonesia emosi saint dan teknologi mat fisika biologi kimia komputer bahasa indonesia bahasa asing kreativitas seni dan budaya sosial teori dan praktek ajar agama hapus masuk ke dalam giat ekskul siswa,2
hmmapanamanya sheandwhite ridwanhr tapi dengan logika seperti gitu harusny lulus kurikulum merdeka sudah bisa hitung dasar karena itu dasar banget buat cari duit tapi nyata kan masih banyak yang keteter untuk prhitungan dasar doang bayangin hitung dasar saja masih belum bisa bagaimana mau survive di dunia penuh ini,0
jusuf kalla kurikulum merdeka tidak bisa terap cara nasional bnetwork,1
taka bibit rusa sudah mulai sejak sebenernya saat peran guru dalam kbm reduksi jadi beri feedback instead of ajar parah sama sistem full day tahun yang bikin kbm smakin tidak efektif kurikulum merdeka cm lanjut busuk yang sudah ada cm beda kemas aja,0
shintaeffendi elisa jkt itu judul kurikilum merdeka tuju bodoh lokal siswasiswi tidak standar nasional sd smp sama,0
zanatul di mana saya bisa dapat naskah akademik atau informasi kait kurikulum merdeka ini pak atau ada bahan baca yang dapat tuntun saya dalam paham kurikulum merdeka ini terima kasih banyak,0
sumpah kurikulum sekolah sekarang memang kacau bgt soal kalau di bandingin jaman yang make ktsp sampai ke mix tuh jauh lebih mending drpd tiga adek adekku yang masih sd pakai kurikulum merdeka bahkan buku paket sama lks saja iya allah seperti bagaimana iya jelas beda bgt,0
anakkolong repot negara ini banyak orang pintar yang akal yang rasa pintar makanya tuju dengan kurikulum merdeka sekarang yang bisa mangkas pola pikir generasi untuk jadi pintar,2
jusuf kalla kritik kurikulum merdeka tidak cocok terap cara nasional,2
sheandwhite kurikulum merdeka telah pantau tidak jauh beda sama standar didik us salah satu jumlah tapi pakai metode aljabar buat didik dini plek ketiplek kesan kaya ooh didik negara maju kaya gin pakai ah batas itu,2
dengan kurikulum merdeka untuk bentuk generasi muda yang taat hukum dan milik nilainilai moral yang kuat utama kait anti korupsi dan anti bullying,2
telah terbit matematika smpmts kurikulum merdeka bukuerlangga klubbuku,1
kemendikbud bicara soal sekolah yang terap kurikulum merdeka lama tahun sebut alami tingkat kompetensi literasi bagaimana turut kamu detikers gtgt detikcom,0
kemarin aku baru saja ada latih bikin soal nyata memang masih banyak yang belum paham kurikulum merdeka bukan sok tau tapi beneran banyak guru muda yang yang penting ngajar,2
wkdtndmswl nenkmonica nadiemmakarim revisi turut saya juga bagus padu sekaligus transisi antara kurikulum lama ktsp yang lebih ke arah pemahamanpenguasaan teorimateri dan kurikulum merdeka yang lebih depan praktek dan terap dari teori,2
nakmandiri selain itu kurikulum merdeka tidak beban murid dengan pr sehingga banyak anak sekarang banyak waktu luang yang guna untuk hal ini juga rupa peran penting orang tua dalam didik anak orang tua sekarang terlalu lelah cari cuan tahu sendiri sekarang saing kerja,0
jk tidak tuju dengan terap kurikulum merdeka cara nasional bnetwork,2
soal uji agama katolik kelas sd kurikulum merdeka semester tahun dan kunci jawab lewat tribunnews,1
soal ulang bahasa inggris kelas semester lengkap kunci jawab kurikulum merdeka tahun lewat tribunnews,1
tapi jadi penasaran juga yang salah di kurikulum merdeka itu bagaimana kok yang sebar di internet sekarang jadi gitu pingin ngecek apakah emang sekarang jadi bodoh itu atau sebenernya makin banyak yang pinter tapi tutup sama konten,0
nenkmonica nadiemmakarim gara gara kurikulum merdeka tuh banyak yang nyepelein pasti bakal bilang paling lulus semua ckckckck,0
kurikulum merdeka baru tahun laku untuk seluruh sekolahbuat saya justru ini masalah karena pandemi kemarin,0
soal ulang pkn kelas semester kurikulum merdeka lengkap kunci jawab tahun lewat tribunnews,1
memefess oh iya iya keren juga brok inti kurikulum merdeka cipta gweh yang baik kan,2
soal ulang antropologi kelas semester kurikulum merdeka lengkap kunci jawab tahun lewat tribunnews,1
soal ulang ekonomi kelas semester kurikulum merdeka lengkap kunci jawab tahun lewat tribunnews,1
kumpar iya begitu kalau menteri didik dengan tahu amp alam ngakali dengan yang yang mau untung sendiri iya jadi rusak didik kita kurikulum merdeka itu sama sistem mitra ojol iya pak alibi juga sama tidak paksa kata,0
mdy jelas gagal realitanya ini orang bikin bagi siswa jadi tambah males sejak un di hapus bikin kurikulum merdeka yang ribet banyak giat tapi bukan bagai tolak ukur lulus atau tidak yaa siswa pada mikir sedang apa giat ini itu toh juga tetep lulus,0
soal ulang bahasa sunda kelas semester lengkap kunci jawab kurikulum merdeka tahun lewat tribunnews,1
shyooogarush deelvote nenkmonica nadiemmakarim ngembangin sendiri emang jadi kurang paham si soal dari dulu murid indo sudah gantung sama gurudosen yang harus nerangin sampai dapat makanya pas dapat kurikulum merdeka banyak yang kurang nangkep tapi benar kurikulum ini bagus temanteman,2
mdy kurikulum merdeka itu benar seperti i iya tapi ajar tidak beri bekal mampu ngajar sistem i iya jadi sulit,2
barisanpemudari kurikulum merdeka murid merdeka bebas bebas mau erti apa tidak tetep bakal naik kelas dan lulus tepat waktu yeay itu belum ditanyain panjang bpupki sama ppki pki nya jadi partai yang onoh,2
el sulfat kamentrader hasil dari kurikulum merdeka,1
kurikulum merdeka yang gadang bisa tingkat perata kualitas didik implementasi jauh dari harap bagaimana ngga benchmarking nya sama sistem finlandia tapi fasilitas kualitas amp sejahtera guru saja jauh dah bagus jadi proposal saja ini kurikulum merdeka,1
tapi jujur kurikulum merdeka is the worst kurikulum yang pernah ada aku bicara gin karena aku alumni kurmed,2
nenkmonica nadiemmakarim kurikulum merdeka namun apa yang merdeka para ajar makin sulit memanage waktu makin malas makin setress attitude tata krama turun salah gaul kembang gagal pol deh,0
kegblgnunfaedh sepakatkurikulum didik lama tri nadiem tidak jelas arah dan kurikulum merdeka jauh anak didik dari didik moral dan adabpadahal ajar didik moral pancasila tetap butuh anak didik panjang jaman,2
deelvote nenkmonica nadiemmakarim saya sbg kakak yang adik sekolah pakai kurikulum merdeka rasa ikut bingung jg ini konsep bagaimana sih sbnrnya adik saya ngeluh terus tugas banyak tapi ajar yang sampai tidak maksimal jadi mau gamau saya ikut bantuin dia nugas sambil karena ngerasa kurikilum ini memang tidak jelas,2
